name,dex_id,short_desc,long_desc,height,weight,gen_introduced,types,abilities,pre_evolution,evolution_condition,evolutions,is_mega,megas,move_set,health,attack,defense,sp_attack,sp_defense,speed,ev_yield,pokemon_db_source,bulbapedia_source
Grimer,88,Grimer is a Poison type Pokémon introduced in Generation 1. It is known as the Sludge Pokémon.,"Grimer is a slimy, amorphous Pokémon whose body was animated because of lunar radiation. It has two large eyes with beady pupils and a gaping mouth with a gray tongue. While it lacks any visible legs, it does have two arms with three digits on each hand. Its purple sludge body contains a variety of pungent bacteria, which are so potent that it renders soil barren and incapable of supporting plant life. It is constantly oozing a bacteria-rich fluid from all parts of its body. Pieces of it often break off during travel, and go on to become new Grimer. When combined with another Grimer, it produces new poisonous compounds.

Due to its lack of a solid form, Grimer is capable of squeezing into any space or crevices with relative ease. It uses this to penetrate sewage pipes and feed off of the filthy waste water inside. Its population fluctuates based on the availability of waste. It can be found in polluted lakes and streams, as well as within cities and factories where trash and industrial waste can be found.

Grimer was brought to Alola to deal with the excess waste generated by the region's increased population. Alolan Grimer eats solid garbage instead of sludge; this new diet has caused its body composition and form to change. Alolan Grimer's body is green with a line of yellow sludge along its lower lip that extends around behind its head, a bright blue tongue, and a small black space behind its eyes. It also has two blunt ""teeth"" in its upper jaw, which are actually crystallized toxins formed by its diet. It is not known how to break down these toxic crystals, but direct contact with them is known to be dangerous. Lethal poisons leak out of Grimer's body when these crystals fall out. Because it produces and stores its toxins within its body, Alolan Grimer does not produce a foul stench like the standard version.[1]

Alolan Grimer is perpetually hungry and must constantly eat trash. If no trash is readily available, it will eat other manufactured products instead.[2] In addition to garbage, Alolan Grimer preys on Trubbish and Garbodor; its introduction to Alola caused their populations to decrease in the region.
",0.9,30.0,1,,"Stench, Sticky Hold, Poison Touch",,,Muk,False,,"Swallow, Embargo, Acid Spray, Belch, Knock Off, Payback, Poison Jab, Taunt, Shock Wave, Rock Polish, Crunch, Return, Shadow Ball, Mimic, Spite, Quash, Facade, Dig, Sludge, Spit Up, Swagger, Pain Split, Screech, Secret Power, Clear Smog, Captivate, Thunder Punch, Snarl, Rock Tomb, Natural Gift, Attract, Poison Fang, Round, Protect, Dynamic Punch, Sunny Day, Giga Drain, Thunder, Fire Punch, Shadow Sneak, Power-Up Punch, Shadow Punch, Gastro Acid, Ice Punch, Incinerate, Curse, Confide, Self-Destruct, Toxic, Infestation, Brutal Swing, Mud Bomb, Mud-Slap, Scary Face, Pursuit, Rain Dance, Bide, Rest, Endure, Gunk Shot, Assurance, Thunderbolt, Disable, Strength, Poison Gas, Sludge Bomb, Lick, Stone Edge, Substitute, Memento, Body Slam, Rock Slide, Acid Armor, Bite, Hidden Power, Imprison, Mean Look, Double Team, Sludge Wave, Pound, Explosion, Frustration, Rage, Minimize, Mega Drain, Harden, Flamethrower, Sleep Talk, Zap Cannon, Haze, Fire Blast, Torment, Venoshock, Fling, Stockpile, Thief, Snore",80,80,50,40,50,25,{'health': 1},https://pokemondb.net/pokedex/grimer,http://bulbapedia.bulbagarden.net/wiki/Grimer_(Pok%C3%A9mon)
Alolan Grimer,88,Grimer is a Poison type Pokémon introduced in Generation 1. It is known as the Sludge Pokémon.,"Grimer is a slimy, amorphous Pokémon whose body was animated because of lunar radiation. It has two large eyes with beady pupils and a gaping mouth with a gray tongue. While it lacks any visible legs, it does have two arms with three digits on each hand. Its purple sludge body contains a variety of pungent bacteria, which are so potent that it renders soil barren and incapable of supporting plant life. It is constantly oozing a bacteria-rich fluid from all parts of its body. Pieces of it often break off during travel, and go on to become new Grimer. When combined with another Grimer, it produces new poisonous compounds.

Due to its lack of a solid form, Grimer is capable of squeezing into any space or crevices with relative ease. It uses this to penetrate sewage pipes and feed off of the filthy waste water inside. Its population fluctuates based on the availability of waste. It can be found in polluted lakes and streams, as well as within cities and factories where trash and industrial waste can be found.

Grimer was brought to Alola to deal with the excess waste generated by the region's increased population. Alolan Grimer eats solid garbage instead of sludge; this new diet has caused its body composition and form to change. Alolan Grimer's body is green with a line of yellow sludge along its lower lip that extends around behind its head, a bright blue tongue, and a small black space behind its eyes. It also has two blunt ""teeth"" in its upper jaw, which are actually crystallized toxins formed by its diet. It is not known how to break down these toxic crystals, but direct contact with them is known to be dangerous. Lethal poisons leak out of Grimer's body when these crystals fall out. Because it produces and stores its toxins within its body, Alolan Grimer does not produce a foul stench like the standard version.[1]

Alolan Grimer is perpetually hungry and must constantly eat trash. If no trash is readily available, it will eat other manufactured products instead.[2] In addition to garbage, Alolan Grimer preys on Trubbish and Garbodor; its introduction to Alola caused their populations to decrease in the region.
",0.7,42.0,,"Poison, Dark","Poison Touch, Gluttony, Power of Alchemy",,,Muk,False,,"Swallow, Embargo, Acid Spray, Belch, Knock Off, Payback, Poison Jab, Taunt, Shock Wave, Rock Polish, Crunch, Return, Shadow Ball, Mimic, Spite, Quash, Facade, Dig, Sludge, Spit Up, Swagger, Pain Split, Screech, Secret Power, Clear Smog, Captivate, Thunder Punch, Snarl, Rock Tomb, Natural Gift, Attract, Poison Fang, Round, Protect, Dynamic Punch, Sunny Day, Giga Drain, Thunder, Fire Punch, Shadow Sneak, Power-Up Punch, Shadow Punch, Gastro Acid, Ice Punch, Incinerate, Curse, Confide, Self-Destruct, Toxic, Infestation, Brutal Swing, Mud Bomb, Mud-Slap, Scary Face, Pursuit, Rain Dance, Bide, Rest, Endure, Gunk Shot, Assurance, Thunderbolt, Disable, Strength, Poison Gas, Sludge Bomb, Lick, Stone Edge, Substitute, Memento, Body Slam, Rock Slide, Acid Armor, Bite, Hidden Power, Imprison, Mean Look, Double Team, Sludge Wave, Pound, Explosion, Frustration, Rage, Minimize, Mega Drain, Harden, Flamethrower, Sleep Talk, Zap Cannon, Haze, Fire Blast, Torment, Venoshock, Fling, Stockpile, Thief, Snore",80,80,50,40,50,25,{'health': 1},https://pokemondb.net/pokedex/grimer,http://bulbapedia.bulbagarden.net/wiki/Grimer_(Pok%C3%A9mon)
Muk,89,Muk is a Poison type Pokémon introduced in Generation 1. It is known as the Sludge Pokémon.,"Muk is a large, sticky, amorphous Pokémon made of living purple sludge. It has two small eyes with beady black pupils. It also has an enormous mouth with a gray tongue and strands of ooze connecting its top and bottom jaws. While it has no visible legs, it does have two arms with three fingers on each hand. However, it typically keeps one hand tucked in while it extends the other hand.

Muk is a living biohazard, leaking toxins that instantly kill all plant life it touches. Even it being in close proximity to plants will cause them to wilt and die. Extreme caution is advised in avoiding any contact with this Pokémon, as an accidental brush up can lead to severe sickness. The effects of this Pokémon can leave the landscape barren for three years. In dirty residential areas where people throw trash into the streets, it is almost certain to appear. It will readily consume nearly any waste or refuse generated by people and Pokémon alike. It can be found in heavily polluted bodies of water, cities and factories. However, Muk's population has declined due to recent environmental improvements and extermination efforts. This has led some to believe that it will go extinct at some point; sludge ponds are being built to prevent its extinction.

Alolan Muk has a more vibrant coloration, consisting of green, pink, and yellow stripes with thin blue bands in-between. The green, yellow, and pink stripes are capable of shifting downwards while the blue stays in place. It has various white, crystallized poison shards protruding from parts of its body, especially from its mouth and fingers, giving the impression of claws and fangs. It has blue eyes with a black space behind them and a bright blue tongue. Its vivid coloration is a result of the garbage it eats, which causes chemical changes in its body. Its body contains over a hundred different kinds of poisons.

Alolan Muk's unexpectedly quiet and friendly. However, if it is not fed trash for a while, its hunger will compel it to destroy its Trainer's furnishings for food. It is thought that it cannot maintain its energy with a constant source of toxins, which causes its voracious appetite. The crystals covering its body have a tendency to break off, which makes it extremely difficult to deal with due to the concentrated toxins contained within them. This variant of Muk does not produce the foul stench due to its toxins being contained in with its body.[1] Alolan Muk preys on Trubbish and Garbodor.
",1.2,30.0,1,,"Stench, Sticky Hold, Poison Touch",Grimer,(Level 38),,False,,"Swallow, Embargo, Acid Spray, Belch, Knock Off, Payback, Poison Jab, Taunt, Shock Wave, Rock Polish, Crunch, Return, Shadow Ball, Mimic, Spite, Quash, Brick Break, Recycle, Facade, Dig, Sludge, Spit Up, Swagger, Pain Split, Screech, Rock Smash, Secret Power, Clear Smog, Giga Impact, Captivate, Thunder Punch, Snarl, Rock Tomb, Natural Gift, Attract, Poison Fang, Round, Hyper Beam, Protect, Dynamic Punch, Sunny Day, Giga Drain, Thunder, Fire Punch, Shadow Sneak, Power-Up Punch, Shadow Punch, Gastro Acid, Ice Punch, Incinerate, Curse, Confide, Self-Destruct, Toxic, Infestation, Brutal Swing, Mud Bomb, Mud-Slap, Scary Face, Pursuit, Rain Dance, Bide, Rest, Endure, Gunk Shot, Assurance, Thunderbolt, Disable, Strength, Poison Gas, Sludge Bomb, Lick, Stone Edge, Substitute, Memento, Body Slam, Rock Slide, Dark Pulse, Acid Armor, Bite, Hidden Power, Imprison, Mean Look, Double Team, Sludge Wave, Pound, Explosion, Frustration, Rage, Focus Blast, Venom Drench, Minimize, Mega Drain, Block, Harden, Focus Punch, Flamethrower, Sleep Talk, Zap Cannon, Haze, Fire Blast, Torment, Venoshock, Fling, Stockpile, Thief, Snore",105,105,75,65,100,50,"{'health': 1, 'attack': 1}",https://pokemondb.net/pokedex/muk,http://bulbapedia.bulbagarden.net/wiki/Muk_(Pok%C3%A9mon)
Alolan Muk,89,Muk is a Poison type Pokémon introduced in Generation 1. It is known as the Sludge Pokémon.,"Muk is a large, sticky, amorphous Pokémon made of living purple sludge. It has two small eyes with beady black pupils. It also has an enormous mouth with a gray tongue and strands of ooze connecting its top and bottom jaws. While it has no visible legs, it does have two arms with three fingers on each hand. However, it typically keeps one hand tucked in while it extends the other hand.

Muk is a living biohazard, leaking toxins that instantly kill all plant life it touches. Even it being in close proximity to plants will cause them to wilt and die. Extreme caution is advised in avoiding any contact with this Pokémon, as an accidental brush up can lead to severe sickness. The effects of this Pokémon can leave the landscape barren for three years. In dirty residential areas where people throw trash into the streets, it is almost certain to appear. It will readily consume nearly any waste or refuse generated by people and Pokémon alike. It can be found in heavily polluted bodies of water, cities and factories. However, Muk's population has declined due to recent environmental improvements and extermination efforts. This has led some to believe that it will go extinct at some point; sludge ponds are being built to prevent its extinction.

Alolan Muk has a more vibrant coloration, consisting of green, pink, and yellow stripes with thin blue bands in-between. The green, yellow, and pink stripes are capable of shifting downwards while the blue stays in place. It has various white, crystallized poison shards protruding from parts of its body, especially from its mouth and fingers, giving the impression of claws and fangs. It has blue eyes with a black space behind them and a bright blue tongue. Its vivid coloration is a result of the garbage it eats, which causes chemical changes in its body. Its body contains over a hundred different kinds of poisons.

Alolan Muk's unexpectedly quiet and friendly. However, if it is not fed trash for a while, its hunger will compel it to destroy its Trainer's furnishings for food. It is thought that it cannot maintain its energy with a constant source of toxins, which causes its voracious appetite. The crystals covering its body have a tendency to break off, which makes it extremely difficult to deal with due to the concentrated toxins contained within them. This variant of Muk does not produce the foul stench due to its toxins being contained in with its body.[1] Alolan Muk preys on Trubbish and Garbodor.
",1.0,52.0,,"Poison, Dark","Poison Touch, Gluttony, Power of Alchemy",Grimer,,,False,,"Swallow, Embargo, Acid Spray, Belch, Knock Off, Payback, Poison Jab, Taunt, Shock Wave, Rock Polish, Crunch, Return, Shadow Ball, Mimic, Spite, Quash, Brick Break, Recycle, Facade, Dig, Sludge, Spit Up, Swagger, Pain Split, Screech, Rock Smash, Secret Power, Clear Smog, Giga Impact, Captivate, Thunder Punch, Snarl, Rock Tomb, Natural Gift, Attract, Poison Fang, Round, Hyper Beam, Protect, Dynamic Punch, Sunny Day, Giga Drain, Thunder, Fire Punch, Shadow Sneak, Power-Up Punch, Shadow Punch, Gastro Acid, Ice Punch, Incinerate, Curse, Confide, Self-Destruct, Toxic, Infestation, Brutal Swing, Mud Bomb, Mud-Slap, Scary Face, Pursuit, Rain Dance, Bide, Rest, Endure, Gunk Shot, Assurance, Thunderbolt, Disable, Strength, Poison Gas, Sludge Bomb, Lick, Stone Edge, Substitute, Memento, Body Slam, Rock Slide, Dark Pulse, Acid Armor, Bite, Hidden Power, Imprison, Mean Look, Double Team, Sludge Wave, Pound, Explosion, Frustration, Rage, Focus Blast, Venom Drench, Minimize, Mega Drain, Block, Harden, Focus Punch, Flamethrower, Sleep Talk, Zap Cannon, Haze, Fire Blast, Torment, Venoshock, Fling, Stockpile, Thief, Snore",105,105,75,65,100,50,"{'health': 1, 'attack': 1}",https://pokemondb.net/pokedex/muk,http://bulbapedia.bulbagarden.net/wiki/Muk_(Pok%C3%A9mon)
Shellder,90,Shellder is a Water type Pokémon introduced in Generation 1. It is known as the Bivalve Pokémon.,"Shellder is a black pearl-like Pokémon encased within a spiky, blue-violet bivalve shell. It has two round white eyes with tiny black pupils. Its enormously long red tongue is used to burrow itself into sand to sleep overnight and also to lure and capture prey. The tongue protrudes even when its shell is closed and tugging it will cause the shell to pop open. Its soft and tender body is well-protected by its extremely durable shell, which is purported to be harder than diamonds and has historically been used by people to make shields. It can make pearls from accumulated sand, though it discards them as they are typically in its way.

Shellder has an unusually strong appetite for the tail of a Slowpoke and can develop a symbiotic relationship with the Dopey Pokémon. After attaching itself to the Slowpoke's tail, the two undergo a metamorphosis and together evolve into Slowbro. Alternatively, if it attaches to the head of a Slowpoke in possession of a King's Rock, the two will instead evolve into Slowking. These relationships allow it to travel onto land and begin a new stage in its life cycle.

Regardless of which form the two Pokémon evolve into, Shellder's shell transforms into a spiny, spiraled cone with several tiers. Sharp teeth develop around the rim of the shell to anchor it securely to the evolved Slowpoke, and its eyes now peek out from the bottom rim of the shell. In its crown form, Shellder will have a red jewel on its underside and a large horn on either side of its shell.

While in its crown form, Shellder will periodically release its venom into Slowking's brain. This is actually beneficial to Slowking, as it causes the Regal Pokémon's intelligence to increase. Higher quantities of venom intensify this effect, and Shellder is easily provoked into releasing more whenever Slowking yawns. However, Shellder's poison makes Slowbro more sluggish as it continues to drain nutrients from its host's body.

Shellder has two former signature moves. It can shoot spears of ice by using Icicle Spear, or clamp tightly to its opponents using Clamp. Despite its hard shell, clamping on to an opponent will reveal its vulnerable parts. Because of this, it will only clamp itself to a foe as a last resort. It swims around its seafloor home by rapidly opening and closing its shell while facing backward. Prehistoric Shellder were apparently preyed upon by Omastar, whose powerful bites were capable of breaking through its shell. Kingler, Rufflet, and Bruxish are modern predators of Shellder.
",0.3,4.0,1,,"Shell Armor, Skill Link, Overcoat",,,Cloyster,False,,"Withdraw, Tri Attack, Tackle, Swift, Twineedle, Barrier, Dive, Return, Mimic, Iron Defense, Avalanche, Ice Shard, Take Down, Facade, Brine, Swagger, Water Gun, Screech, Secret Power, Captivate, Whirlpool, Blizzard, Natural Gift, Icy Wind, Double-Edge, Attract, Round, Protect, Rapid Spin, Shell Smash, Surf, Hail, Icicle Spear, Reflect, Curse, Confide, Self-Destruct, Toxic, Supersonic, Rain Dance, Rest, Bide, Endure, Hydro Pump, Substitute, Clamp, Ice Beam, Aurora Beam, Mud Shot, Hidden Power, Double Team, Explosion, Water Pulse, Frustration, Razor Shell, Rage, Leer, Teleport, Aqua Ring, Sleep Talk, Rock Blast, Bubble Beam, Payback, Liquidation, Snore",30,65,100,45,25,40,{'defense': 1},https://pokemondb.net/pokedex/shellder,http://bulbapedia.bulbagarden.net/wiki/Shellder_(Pok%C3%A9mon)
Cloyster,91,Cloyster is a Water/Ice type Pokémon introduced in Generation 1. It is known as the Bivalve Pokémon.,"Cloyster is a black, pearl-like Pokémon. It is encased inside a light-gray shell, which is surrounded by a second jagged, blue-violet outer shell casing. It has one barb-like spike protruding from above its head, and multiple conical horns on its outer shell. Its shell is harder than diamond with spikes that are even harder; harsh tidal currents will affect the size and sharpness of these spikes. On its pearl-like face, it has two white eyes and a mouth. Aside from its face and head, its internal anatomy has never been seen. Once it has shut itself in, it is impossible to open its shell from the outside. This impressive defense allows it to withstand anything from a bomb blast to even a missile strike.

Cloyster typically only opens its shell to attack an opponent. However, it is fully capable of retaliating against any enemy with its shell tightly closed. With rapid succession, it launches its spikes at the foe, keeping them repelled. It can also attack by clamping onto an enemy with its former signature move, Clamp. The same projectile system it uses to launch its spikes is also used for swimming. It swallows seawater, and then ejects it towards the rear propelling it through with siphon-jet propulsion. Being the result of an evolution via evolutionary stone, Cloyster is rarely found in the wild, though they can be found in the sea floor, nestled among the rocks and coral, but it will actively hunt on land for Slowpoke tails. Kingler is a natural predator of Cloyster.
",1.5,132.5,1,"Water, Ice","Shell Armor, Skill Link, Overcoat",Shellder,(use Water Stone),,False,,"Withdraw, Signal Beam, Tri Attack, Tackle, Poison Jab, Swift, Twineedle, Barrier, Dive, Icicle Crash, Return, Mimic, Iron Defense, Avalanche, Take Down, Ice Shard, Facade, Spikes, Brine, Swagger, Water Gun, Screech, Secret Power, Captivate, Giga Impact, Whirlpool, Blizzard, Natural Gift, Icy Wind, Double-Edge, Attract, Round, Spike Cannon, Protect, Hyper Beam, Rapid Spin, Shell Smash, Surf, Toxic Spikes, Hail, Icicle Spear, Reflect, Curse, Confide, Self-Destruct, Toxic, Supersonic, Rain Dance, Frost Breath, Rest, Bide, Endure, Hydro Pump, Substitute, Clamp, Smart Strike, Ice Beam, Aurora Beam, Mud Shot, Hidden Power, Double Team, Explosion, Water Pulse, Frustration, Razor Shell, Rage, Leer, Teleport, Aqua Ring, Sleep Talk, Rock Blast, Bubble Beam, Torment, Payback, Liquidation, Snore",50,95,180,85,45,70,{'defense': 2},https://pokemondb.net/pokedex/cloyster,http://bulbapedia.bulbagarden.net/wiki/Cloyster_(Pok%C3%A9mon)
Gastly,92,Gastly is a Ghost/Poison type Pokémon introduced in Generation 1. It is known as the Gas Pokémon.,"Gastly has no true form, due to 95% of its body being poisonous gas. However, it consistently appears as a black, spherical Pokémon surrounded by a purple haze. It has a wide, pink mouth with two visible fangs. Though its eyes seem to extend past its round body, visible eyelids surround them. It produces a faint, sweet smell. The toxic gas surrounding the main body can induce fainting and suffocation, and it is capable of enshrouding an enemy of any size. Its gaseous form makes it one of the  lightest Pokémon tying with Haunter, Flabébé, Cosmog, and Kartana.

The anime suggests that Gastly has a playful personality, often frightening and playing pranks on people for fun. However, it has shown a willingness to preserve or pass on the memories of departed humans. It has further been shown changing form and creating illusions, and it is capable of phasing through solid objects and forming tangible hands out of its gasses. Gastly can be found in caves,  but the anime has shown it living in old, dilapidated buildings, as well. It will dwindle away when exposed to strong winds, so groups cluster under house eaves to escape the wind. It may also cause flickering lights in abandoned houses. In the past, Night Shade was its signature move.
",1.3,0.1,1,"Ghost, Poison",Levitate,,,Haunter,False,,"Embargo, Psywave, Psychic, Knock Off, Reflect Type, Payback, Taunt, Perish Song, Confuse Ray, Return, Shadow Ball, Mimic, Ominous Wind, Spite, Sucker Punch, Nightmare, Destiny Bond, Facade, Swagger, Pain Split, Psych Up, Secret Power, Clear Smog, Captivate, Thunder Punch, Night Shade, Natural Gift, Astonish, Icy Wind, Round, Protect, Sunny Day, Giga Drain, Fire Punch, Thunder, Snatch, Thief, Trick Room, Ice Punch, Curse, Confide, Self-Destruct, Toxic, Infestation, Uproar, Scary Face, Hypnosis, Skill Swap, Rain Dance, Rest, Bide, Endure, Ally Switch, Dream Eater, Disable, Hex, Thunderbolt, Sludge Bomb, Lick, Substitute, Dazzling Gleam, Smog, Dark Pulse, Hidden Power, Telekinesis, Mean Look, Double Team, Explosion, Energy Ball, Frustration, Will-O-Wisp, Trick, Rage, Grudge, Mega Drain, Foul Play, Sleep Talk, Wonder Room, Zap Cannon, Haze, Torment, Venoshock, Attract, Snore",30,35,30,100,35,80,{'sp_attack': 1},https://pokemondb.net/pokedex/gastly,http://bulbapedia.bulbagarden.net/wiki/Gastly_(Pok%C3%A9mon)
Haunter,93,Haunter is a Ghost/Poison type Pokémon introduced in Generation 1. It is known as the Gas Pokémon.,"Haunter is a purple Pokémon with a gaseous body. It has a round head flanked by three large, spiked protrusions on either side. It has triangular eyes with small pupils and a mouth with a long, pink tongue. The gases composing its head curve into its mouth to form several pointed teeth. Disembodies hands with three clawed fingers each float in front of its body. Its body tapers into a jagged tail. Its gaseous form makes it one of the  lightest Pokémon tying with Gastly, Flabébé, Cosmog, and Kartana. It can also float through walls.

Haunter hides in very dark places, such as caves, and is afraid of light. If a human or a Pokémon comes near Haunter, it will stalk the victim while floating and beckon it to come closer. Once approached it will then lick the victim with its gaseous tongue, inflicting convulsions in the victim that last until death. Despite its predatory nature, it has been known to entertain and prank people in the anime. Additionally, it has even been shown to feel intense loyalty to a deceased Trainer. In the past, Night Shade was its signature move.
",1.6,0.1,1,"Ghost, Poison",Levitate,Gastly,(Level 25),Gengar,False,,"Embargo, Psywave, Psychic, Knock Off, Payback, Reflect Type, Poison Jab, Taunt, Perish Song, Confuse Ray, Return, Shadow Ball, Mimic, Ominous Wind, Spite, Sucker Punch, Facade, Nightmare, Destiny Bond, Swagger, Pain Split, Psych Up, Secret Power, Clear Smog, Captivate, Thunder Punch, Night Shade, Natural Gift, Astonish, Icy Wind, Attract, Round, Protect, Sunny Day, Giga Drain, Thunder, Fire Punch, Shadow Punch, Snatch, Trick Room, Ice Punch, Curse, Confide, Self-Destruct, Toxic, Infestation, Uproar, Scary Face, Rain Dance, Hypnosis, Skill Swap, Bide, Rest, Endure, Ally Switch, Thunderbolt, Disable, Hex, Dream Eater, Sludge Bomb, Lick, Substitute, Dazzling Gleam, Smog, Dark Pulse, Hidden Power, Telekinesis, Mean Look, Double Team, Explosion, Energy Ball, Frustration, Will-O-Wisp, Trick, Rage, Grudge, Mega Drain, Foul Play, Shadow Claw, Sleep Talk, Wonder Room, Zap Cannon, Haze, Torment, Venoshock, Fling, Thief, Snore",45,50,45,115,55,95,{'sp_attack': 2},https://pokemondb.net/pokedex/haunter,http://bulbapedia.bulbagarden.net/wiki/Haunter_(Pok%C3%A9mon)
Gengar,94,Gengar is a Ghost/Poison type Pokémon introduced in Generation 1. It is known as the Shadow Pokémon.,"Gengar is a dark purple, bipedal Pokémon with a roundish body. It has red eyes, a wide mouth that is usually curled into a sinister grin, and pointed ears. On its back are numerous spikes and it has smaller spikes on top of its head similar to tufty fur. Its arms and legs are short with three digits on both its hands and feet. It also has a stubby tail.

As Mega Gengar, a portion of its body sinks into the ground and its arms and tail lengthen. The lower portions turn a more reddish purple, and a third eye appears on its forehead. This new unblinking eye is oval, yellow, and allows it to see into other dimensions.[1] The spikes on Mega Gengar's back are more numerous and pointed and additional spikes appear on its hands and tail. Its ears are now considerably longer and tilt backward. Mega Gengar has the ability to access other dimensions and has a vicious nature. It may even curse its own Trainer.

Gengar has the ability to hide perfectly in the shadow of any object, granting it exceptional stealth. However, Gengar's body acts as a heat sink. Its presence cools the temperature of the surrounding area by nearly 10°F (5°C), because it absorbs the warmth. The anime has shown that Gengar can fly and possess people and other Pokémon. In the past, Night Shade was its signature move.

Gengar is very mischievous, and at times, malicious. It enjoys playing practical jokes and casting curses, such as pretending to be one's shadow, then behaving erratically. When the quarry notices, the Gengar takes delight in its victim's terror. However, Gengar has been known to be loyal to a Trainer who treats it well. Being the result of an evolution via trading, Gengar is rarely found in the wild, though they can be found in caves and dark places where shadows form. It is especially fond of urban areas such as cities and back alleys, but only during the night.
",1.5,40.5,1,"Ghost, Poison",Cursed Body,Haunter,(Trade),,False,Mega Gengar,"Embargo, Psywave, Psychic, Knock Off, Payback, Reflect Type, Poison Jab, Taunt, Perish Song, Confuse Ray, Return, Shadow Ball, Mimic, Ominous Wind, Spite, Drain Punch, Brick Break, Take Down, Sucker Punch, Facade, Mega Punch, Nightmare, Destiny Bond, Swagger, Pain Split, Psych Up, Seismic Toss, Rock Smash, Role Play, Secret Power, Clear Smog, Giga Impact, Captivate, Thunder Punch, Night Shade, Natural Gift, Astonish, Icy Wind, Skull Bash, Double-Edge, Attract, Round, Hyper Beam, Protect, Dynamic Punch, Sunny Day, Giga Drain, Thunder, Fire Punch, Submission, Shadow Punch, Power-Up Punch, Snatch, Trick Room, Ice Punch, Curse, Confide, Self-Destruct, Toxic, Infestation, Metronome, Uproar, Laser Focus, Scary Face, Rain Dance, Hypnosis, Skill Swap, Bide, Rest, Endure, Ally Switch, Thunderbolt, Disable, Hex, Dream Eater, Strength, Sludge Bomb, Lick, Substitute, Counter, Mega Kick, Dazzling Gleam, Body Slam, Smog, Dark Pulse, Hidden Power, Telekinesis, Mean Look, Double Team, Explosion, Energy Ball, Frustration, Will-O-Wisp, Trick, Rage, Grudge, Focus Blast, Mega Drain, Foul Play, Shadow Claw, Focus Punch, Sleep Talk, Wonder Room, Zap Cannon, Haze, Headbutt, Torment, Venoshock, Fling, Thief, Snore",60,65,60,130,75,110,{'sp_attack': 3},https://pokemondb.net/pokedex/gengar,http://bulbapedia.bulbagarden.net/wiki/Gengar_(Pok%C3%A9mon)
Mega Gengar,94,Gengar is a Ghost/Poison type Pokémon introduced in Generation 1. It is known as the Shadow Pokémon.,"Gengar is a dark purple, bipedal Pokémon with a roundish body. It has red eyes, a wide mouth that is usually curled into a sinister grin, and pointed ears. On its back are numerous spikes and it has smaller spikes on top of its head similar to tufty fur. Its arms and legs are short with three digits on both its hands and feet. It also has a stubby tail.

As Mega Gengar, a portion of its body sinks into the ground and its arms and tail lengthen. The lower portions turn a more reddish purple, and a third eye appears on its forehead. This new unblinking eye is oval, yellow, and allows it to see into other dimensions.[1] The spikes on Mega Gengar's back are more numerous and pointed and additional spikes appear on its hands and tail. Its ears are now considerably longer and tilt backward. Mega Gengar has the ability to access other dimensions and has a vicious nature. It may even curse its own Trainer.

Gengar has the ability to hide perfectly in the shadow of any object, granting it exceptional stealth. However, Gengar's body acts as a heat sink. Its presence cools the temperature of the surrounding area by nearly 10°F (5°C), because it absorbs the warmth. The anime has shown that Gengar can fly and possess people and other Pokémon. In the past, Night Shade was its signature move.

Gengar is very mischievous, and at times, malicious. It enjoys playing practical jokes and casting curses, such as pretending to be one's shadow, then behaving erratically. When the quarry notices, the Gengar takes delight in its victim's terror. However, Gengar has been known to be loyal to a Trainer who treats it well. Being the result of an evolution via trading, Gengar is rarely found in the wild, though they can be found in caves and dark places where shadows form. It is especially fond of urban areas such as cities and back alleys, but only during the night.
",1.4,40.5,,"Ghost, Poison",Shadow Tag,Haunter,,,True,,"Embargo, Psywave, Psychic, Knock Off, Payback, Reflect Type, Poison Jab, Taunt, Perish Song, Confuse Ray, Return, Shadow Ball, Mimic, Ominous Wind, Spite, Drain Punch, Brick Break, Take Down, Sucker Punch, Facade, Mega Punch, Nightmare, Destiny Bond, Swagger, Pain Split, Psych Up, Seismic Toss, Rock Smash, Role Play, Secret Power, Clear Smog, Giga Impact, Captivate, Thunder Punch, Night Shade, Natural Gift, Astonish, Icy Wind, Skull Bash, Double-Edge, Attract, Round, Hyper Beam, Protect, Dynamic Punch, Sunny Day, Giga Drain, Thunder, Fire Punch, Submission, Shadow Punch, Power-Up Punch, Snatch, Trick Room, Ice Punch, Curse, Confide, Self-Destruct, Toxic, Infestation, Metronome, Uproar, Laser Focus, Scary Face, Rain Dance, Hypnosis, Skill Swap, Bide, Rest, Endure, Ally Switch, Thunderbolt, Disable, Hex, Dream Eater, Strength, Sludge Bomb, Lick, Substitute, Counter, Mega Kick, Dazzling Gleam, Body Slam, Smog, Dark Pulse, Hidden Power, Telekinesis, Mean Look, Double Team, Explosion, Energy Ball, Frustration, Will-O-Wisp, Trick, Rage, Grudge, Focus Blast, Mega Drain, Foul Play, Shadow Claw, Focus Punch, Sleep Talk, Wonder Room, Zap Cannon, Haze, Headbutt, Torment, Venoshock, Fling, Thief, Snore",60,65,80,170,95,130,{'sp_attack': 3},https://pokemondb.net/pokedex/gengar,http://bulbapedia.bulbagarden.net/wiki/Gengar_(Pok%C3%A9mon)
